id,overall_ranking,first_name,last_name,pos,team,b_t,future_value,body,fastball_proj,sweeper_proj,changeup_proj,cutter_proj,control_proj,hit_proj,power_proj,run_proj,field_proj,arm_proj
25,26,Kristian,Campbell,2B,Age: 22 | Bats: Right | Throws: Right,Right-Right,60,"Type: A confounding collection of big tools, an unusual swing, and a checkered track record until 2024  Campbell was the No. 132 overall pick in the 2023 draft. From Georgia Tech, he was well-known to southeastern scouts as he was a high-level follow as a prep underclassman. He lost momentum leading into the 2023 draft, with some teams not considering him as a top-10-rounds prospect by the middle of the college season. Due to his excellent contact rates, plus speed at 6-foot-3, defensive versatility and surprisingly good exit velocity, analytics departments across the league argued with scouts and swing gurus who saw little in-game power (four home runs in 217 plate appearances in his draft year) and a swing that was borderline unusable at the big league level.  Ranking worst mistakes for every MLB team  Every club has made at least one terrible signing, trade or decision in the past five years. We rank each from least to most damaging.   David Schoenfield »  Campbell answered those questions quickly after being drafted, setting the minors on fire in 2024 with a .997 OPS, 20 homers, and 24 stolen bases across High-A, Double-A and Triple-A. He's probably a second-base or center-field fit long-term but isn't a fantastic defender anywhere and has fringy arm strength.  The real issue now is that his swing doesn't fit into how many teams believe swings need to work at the big league level. Using Javier Baez's well-known bat tip toward the pitcher as a point of comparison, Campbell keeps the bat almost perfectly vertical at foot plant but doesn't tilt it much toward the pitcher. This creates a slightly longer path for the barrel into the hitting zone and, more importantly, a tough mechanical balance of entering the hitting zone steeply but flattening out by contact, hopefully with some loft, especially when pulling the ball. That's a really tough balance and unique series of movements. If this issue proves to be unfixable and affects him as many scouts and swing experts expect, Campbell could underperform relative to his raw tools -- such as his above-average to plus bat control, pitch selection, and raw power -- due to inconsistent contact quality. While he already has a very flat launch angle (so this concern isn't unfounded), it wouldn't completely undermine his offensive profile.  This outcome could still be correct, which just means that Campbell would become a roughly league-average threat in the batter's box (.255 with a solid walk rate and 15-18 homers) along with some real value on the bases and on defense. That's still a really nice player to have at the league minimum for three seasons. Of course, there are some evaluators who are looking past his hitting mechanics, focusing on his results, and imagining a future star. Some rival teams think Campbell is among the top few prospects in the game, while a larger group of teams aren't sure he belongs in the top 50 of this list, as they are skeptical of outliers when it comes to hitting mechanics. Since hitters have to adjust to all kinds of pitches and pitchers, there's a narrow sense of what swings can work in the big leagues, but we can all think of some exceptions; teams don't like to bet on them. Either way, the 132nd pick of the 2023 draft is now ranked right behind the top pick in the 2024 draft on this list, a credit to the scouting and development of the Red Sox.",,,,,,,,,,
26,27,Emmanuel,Rodriguez,CF,Age: 21 | Bats: Left | Throws: Left,Left-Left,60,"Type: Power-and-patience center fielder with durability issues  Rodriguez has similarities to Jasson Dominguez (No. 24) as a compactly built center fielder with big tools. Rodriguez has slightly more raw power, but both have shown similar in-game power output. Rodriguez is a much better defensive center fielder, but Dominguez is a faster runner. Rodriguez's batting eye ranks among the entire minor leagues, but he has well-below-average bat control, projecting for something like a .235 hitter who may lead the league in walk rate, while Dominguez is closer to average on both counts. Rodriguez is below Dominguez here, primarily because of a long history of soft tissue injuries that have limited him to just 193 games over the past three seasons.",,,,,,,,,,
27,28,Jordan,Lawlar,SS,Age: 22 | Bats: Right | Throws: Right,Right-Right,60,"Type: Shortstop with four of the five tools grading plus, but has fringy contact tools and has been injured a lot  Lawlar emerged early as one of the top high school position players in the 2021 draft class and held serve, going No. 6 overall, just behind Marcelo Mayer (No. 4 on this list).  As the type above mentions, it was easy to see why with his four plus tools and a pretty good hit tool judging from his bat speed and pre-draft performance.  But it has been a tougher road as a pro. He needed shoulder surgery soon after signing, and then he was beset by issues to his ribs, chest, thumb, and hamstring. The D-backs have also had enough infield options in the majors that a clear spot in the lineup hasn't opened for him. Lawler needs to establish his health and rhythm at the plate, with the potential to start turning into a power-over-hit, toolsy shortstop by the second half, possibly in the big leagues.",,,,,,,,,,
28,29,Jac,Caglianone,1B,Age: 21 | Bats: Left | Throws: Left,Left-Left,60,"Type: MLB's next Homer King, if he can clean up his approach a bit  I did a deep dive on Caglianone before the draft, here are the big-picture things to know: He has plus bat-to-ball ability, well-below-average pitch selection and 40 homer type raw power. He will likely be forced to improve his pitch selection when facing better pitchers (he ranked in college and didn't need to adjust) and he will also have more time to focus on hitting now that he is putting pitching on hold (he was a second-round prospect as a pitcher). This season will tell us a lot about how to interpret Cags' trajectory for the next few years. If he doesn't improve his pitch selection, pitchers in the upper minors, and eventually the majors, won't give him much to drive and his in-game power won't match his potential.",,,,,,,,,,
29,30,JJ,Wetherholt,SS,,Switch-Right,60,"Type: Above average at almost everything on a baseball field, but not in a flashy way  Wetherholt wasn't well known to scouts his sophomore year at West Virginia when he became a high-first-round prospect. His draft year the following spring was limited by a hamstring injury, but he still went No. 7 overall in last summer's draft and his upside remains the same. He is a plus hitter with plus pitch selection, 20-25 homer upside, above-average speed and a passable glove at shortstop who likely settles at second or third base. Sometimes this skill set can turn into a star like Jose Ramirez, but usually it becomes a solid every-day player who may make an All-Star team or two.",,,,,,,,,,
30,31,Jacob,Wilson,SS,Age: 22 | Bats: Right | Throws: Right,Right-Right,60,"Type: Shortstop with incredible bat-to-ball skills, but little else  Wilson was the first pick after the slam dunk top-five talents in the 2023 draft (Paul Skenes, Dylan Crews, Max Clark, Wyatt Langford, and Walker Jenkins) and Oakland rushed him to the big leagues in less than a year. He is a good defensive shortstop like his father and 12-year MLB infielder, Jack, and Jacob mixes in plus-plus bat control. His power and pitch selection are well below average, though. If those two qualities don't improve, he'll profile as a solid but lower-end regular with a limited ceiling.",,,,,,,,,,
31,32,Chase,DeLauter,RF,Age: 23 | Bats: Left | Throws: Left,Left-Left,60,"Type: A well-rounded potential impact outfielder, if he can stay healthy  DeLauter popped for scouts with his performance in the Cape Cod League the summer before he was draft-eligible at James Madison. That was valuable because he was bad (and his swing was worse) in a key early series at Florida State, then he missed much of the spring with a broken foot after playing a mid-major schedule. Cleveland took him No. 16 overall in the 2022 draft and he has continued to beat expectations on the field despite a unique swing -- but that's only when he has been on the field. Various foot and hamstring injuries have limited him to just 96 regular-season pro games.  DeLauter should open 2025 in Triple-A and has plus bat-to-ball and pitch selection abilities along with 20-25 homer power and above average corner outfield defense. There's real upside here if he stays healthy and continues proving the doubters wrong at the plate.",,,,,,,,,,
32,33,Colson,Montgomery,SS,Age: 22 | Bats: Left | Throws: Right,Left-Right,60,"Type: A power-over-hit infielder who didn't have the 2024 many expected  Montgomery was a polarizing prospect in the 2021 draft class -- analytical models didn't like that he was 19 years old on draft day (a negative historical marker for prep position players), but some clubs loved his multisport background, strong exit velos, and impressive in-game performance on the showcase circuit. Chicago took him No. 22 overall and quickly looked prescient as he became one of the better prospects in baseball, but his 2024 season raised some concerns.  Montgomery is 6-foot-3, 225 pounds but is playing only shortstop, where he's limited laterally by his below-average speed, with third base seeming to be where he'll ultimately land. He has fringe-to-average bat-to-ball and on-base skills with good feel for getting to his above-average-to-plus raw power in games, helping him project as a regular but probably not as a star.",,,,,,,,,,
33,34,Jett,Williams,2B,Age: 21 | Bats: Right | Throws: Right,Right-Right,60,"Type: A 5-foot-6 spark plug with 20-homer upside and plus-plus speed  Williams was somewhat anonymous to national scouts during his showcase summer in high school, then he became a mid-first-round pick after he packed on more strength and emerged in the spring while playing solid competition in the Dallas area.  Despite being 5-foot-6, Williams has excellent feel to get to his solid-average raw power in games while also making an above-average amount of contact and picking pitches to drive. He's been playing all over the field in pro ball and probably fits long term at second base or center field because of his plus-plus speed, fringy arm strength and good-not-great hands on the infield.  Williams didn't play much in 2024 (only 33 regular-season games and 22 in the Arizona Fall League) because of wrist and ankle injuries, so 2025 will be important to see him stay healthy, settle at a position and make his big league debut as a likely fan favorite.",,,,,,,,,,
34,35,Kumar,Rocker,RHP,Age: 25 | Bats: Right | Throws: Right,Right-Right,60,"Type: A possible front-line starter, but there's a long blurb here for a reason  Rocker's path since his early high school career has been full of ups and downs. He was one of the first arms to emerge from the 2018 prep class, ultimately passing on mid-first-round money to go to Vanderbilt. Rocker was a legit star immediately in Nashville and seemed the likely 2021 No. 1 overall pick after his freshman year. His stuff regressed a bit and he went No. 10 overall to the Mets in the 2021 draft, but they didn't like what their physical revealed about his arm and opted to not sign him. Rocker didn't return to Vanderbilt in 2022, instead undergoing shoulder surgery and pitching briefly in an independent league before going No. 3 overall to the Rangers for an underslot deal.  The latest ESPN fantasy baseball content • ESPN's 2025 Fantasy Baseball Draft Kit  • ESPN standard points-league mock draft  • Cockcroft: 20 fantasy sleepers  •ESPN's must-have Draft Day cheat sheet  Fantasy baseball home page >>  He didn't look anywhere close to his old self in 2022, either in the leadup to the draft or when he took the mound in the Arizona Fall League. Then had more bad luck: Tommy John surgery on his elbow after 28 pro innings in 2023. After he came back from that injury, he suddenly looked like a version of his old self last season -- with everything he threw plus or better and he was executing those pitches pretty well.  It could appear looking back that Rocker simply needed to stop pitching long enough to surgically clear up everything the Mets saw in 2021 and get back to what he was as a freshman at Vanderbilt. But there aren't many examples of pitchers losing some measure of stuff, health and overall effectiveness and regaining it, especially this dramatically.  Between those past shoulder and elbow surgeries, no outings longer than five innings last season and fewer 50 innings thrown total in his pro career, there is still reason to be hesitant about the idea of Rocker immediately becoming a front-line starter. I'd guess he will be capped at around 100 innings in 2025. On the other hand, he has two plus-plus pitches (fastball, slider) and two more plus pitches (cutter, changeup) along with above-average control, so he's likely to put up wacky numbers in shorter stints as he builds up his workload again.",,,,,,,,,,
35,36,Chase,Burns,RHP,,Right-Right,60,"Type: Fireballing fastball/slider potential front-line starter with flair to match  Burns was a seven-figure quality prep prospect in Tennessee, hitting 100 mph on a couple of short outings in showcases, but with enough questions about his command and consistency that he joined the Volunteers in Knoxville. After a strong freshman year and a move to the bullpen in his sophomore year to both work around command issues and impact games in high-leverage situations, Burns transferred to Wake Forest for his draft year in 2024.  He made progress in getting deeper into games, expanding his arsenal and getting more swing-and-miss, leading to the Reds taking him second overall last summer. Burns' fastball still tickles triple digits, and his slider is a plus-plus pitch. His curveball and changeup both flash above-average potential, and his control/command seem good enough for him to reach his front-line ceiling.",,,,,,,,,,
36,37,Alex,Freeland,SS,Age: 23 | Bats: Switch | Throws: Right,Switch-Right,60,"Type: Middling utility prospect who had enormous breakthrough and now looks like an every-day player  Freeland was a midtier prep prospect who got some pro attention before ending up at UCF and eventually going in the third round of the 2022 draft. Entering the draft, he was an infielder, but not a very good shortstop. He had some power and patience, but nothing was plus and he projected more as a utility guy than an impact player. That was the expectation entering 2024 before he went off, hitting 18 homers, stealing 31 bases, and drawing 91 walks while rising from High-A to Triple-A.  Freeland looks looser and more athletic with more separation at the plate than he did before his huge leap. He has improved at every swing-based metric I can find and as a runner, showing fringe-to-average speed. He also got better in the field and now looks like a decent big league shortstop.  He had a number of surgeries as a child to correct a clubfoot, so working around some remaining foot/ankle limitations to become a later-blooming athlete could make some sense in trying to understand how this breakout season occurred. Freeland still probably fits best at second base long-term and has 20-homer upside, but he may post plus on-base percentages as a switch-hitter.",,,,,,,,,,
37,38,Kyle,Teel,C,Age: 23 | Bats: Left | Throws: Right,Left-Right,60,"Type: Steady, but not flashy every-day catcher who posts 2-3 WAR seasons.  Teel steadily improved from a notable prep prospect to a stalwart in the University of Virginia lineup while also growing from a possible long-term catcher to an above-average defender behind the plate. He has 20-plus homer upside, but he has taken a more balanced offensive approach and projects as a .260 hitter who hits 15-18 homers. He was the headliner in Chicago's Garrett Crochet return from Boston and should make his big league debut in 2025.",,,,,,,,,,
38,39,Rhett,Lowder,RHP,Age: 22 | Bats: Right | Throws: Right,Right-Right,60,"Type: Sinker/slider-type starting pitcher who could turn into Aaron Nola if it clicks  Lowder broke through as a sophomore at Wake Forest with his velocity gains leading to a firmer slider that works well with his existing standout changeup and command. He had a sterling draft year, eventually being selected by the Red with No. 7 pick in the 2023 draft. He made his pro debut in 2024, going from High-A to the big leagues and performing OK but not great in his cup of coffee.  Lowder's sinker and slider are both average-to-above pitches more due to location than velocity or explosive life. His changeup is a plus weapon that has always been his go-to pitch, particularly when ahead in the count. He'll likely never post huge strikeout rates, but he won't walk many batters. He could reach over 180 innings if can put up average strikeout rates, which starts to look like Aaron Nola.",,,,,,,,,,
39,40,Charlie,Condon,3B,Age: 21 | Bats: Right | Throws: Right,Right-Right,60,"Type: Potential Kris Bryant-type upside, but a poor pro debut has his momentum going the wrong way  Following in the footsteps of Florida's Wyatt Langford, who was drafted at No. 4 in the 2023 draft, Condon was lightly recruited out of high school and wasn't a pro prospect until his sophomore year at Georgia. He put up huge numbers largely in a corner position, which for Condon came split between first base, third base and the outfield. By his draft year, Condon improved at third and was giving Kris Bryant vibes as a third base/outfielder tweener with a lean frame and 30-homer upside along with good-enough on-base skills. He was narrowly my top-ranked prospect in the 2024 draft -- a virtual toss-up with Travis Bazzana, just ahead of JJ Wetherholt, Jac Caglianone, Chase Burns and Hagen Smith.  As you could guess from this ranking, Condon had a very poor pro debut, which raised all the questions I raised at draft time. A slow start in pro ball was somewhat predictable as he has had trouble keeping weight on through an entire season, which would affect his power and stamina late in the summer, and he was also battling a hand injury -- but his performance was worse than expected even considering those factors. Condon's bat control played a tick or two lower than expected, as did his in-game power indicators. It was a relatively small sample (25 games), it was High-A (Wetherholt only played in Low-A), and some other top 2024 picks haven't even had debuts yet, so it's unfair to really spike Condon's prospect status. That said, flags have been raised and we'll need to watch his start to 2025 closely.",,,,,,,,,,
40,41,Hagen,Smith,LHP,Age: 21 | Bats: Left | Throws: Left,Left-Left,60,"Type: Lower-slot lefty slinger who could be a mid-rotation-type soon, with shades of Garrett Crochet.  Smith was a notable, low-seven-figure prospect out of a Texas high school in the 2021 draft class, but his asking price wasn't met because he missed his junior year due to Tommy John surgery. He was sitting around 90 mph at that time and his short-arm action was divisive even though he threw seven no-hitters in his draft year.  Once he got to Arkansas, Smith was effective at garnering whiffs over his first two years, but there were some questions about his finer command and if he could be a dependable starter. He answered those emphatically in his draft year, striking out 161 batters in 84 innings in the loaded SEC en route to going fifth overall last summer.  Smith still has more control than command and relies heavily on his mid-90s running fastball and deadly slider (both are plus pitches) with a lesser-used curveball and changeup that both need refinement. There's deception in his unique shorter-arm action and lower-arm slot, which help explains why his fastball/slider combo performs incredibly well in the strike zone relative to their more pedestrian ball-tracking movement/velo profiles. Smith needs to refine his control to have those two pitches in the zone more often and develop a third weapon, but he has the look of a No. 2/No. 3 starter who could move quickly through the minors.",,,,,,,,,,
41,42,Blake,Mitchell,C,Age: 20 | Bats: Left | Throws: Right,Left-Right,60,"Type: Lefty hitter with standout power/patience at the plate and glove/arm behind it that provides All-Star upside  Mitchell was the No. 8 pick in the 2023 draft out of a Texas high school but was seen as comparable to prep players going in the middle-to-late stages of the round. After a strong 2024 full-season debut, Mitchell stands basically where the Royals took him among a group of prep players from that draft who have been excellent so far.  Mitchell's defense, plus-plus arm and overall tool set have always stood out with scouts who are somewhat split on his overall offensive upside. As a 19-year-old in Low-A last year, Mitchell answered those questions, posting a 17% walk rate, with 18 homers and 26 stolen bases. There's some swing-and-miss inherent to his late-count, power-focused approach and that's the main risk factor. But there could be a new starting catcher with big power headed to Kauffman Stadium right as another one's storied career is winding down.",,,,,,,,,,
42,43,Luke,Keaschall,2B,Age: 22 | Bats: Right | Throws: Right,Right-Right,60,"Type: On-base machine with medium power/speed combo and positional versatility  Keaschall transferred from the University of San Francisco to Arizona State for his draft year. He was taken in the second round in 2023 because of his strong contact profile and sneaky gap power with some speed and defensive value -- but also a lack of star potential.  His contact, on-base and in-game power skills have all played a bit better than expected and he got to Double-A in his first full pro season before it was ended by Tommy John surgery on his throwing elbow. He should be ready for the 2025 season, and Keaschall's speed makes him playable at second base and center field, though he isn't great at either defensively.  He's an every-day player of some sort, but he doesn't have a true plus tool or a clear best positional home, so he'll likely end up playing wherever his team has a need.",,,,,,,,,,
43,44,Drake,Baldwin,C,,Left-Right,60,"Type: Offensive-oriented potential every-day catcher who is ready for his MLB debut  Baldwin was a 2022 third-round pick out of Missouri State as an offensively oriented catcher who may have to move to a corner spot if he didn't keep progressing behind the plate. He has improved to be solid there, but will probably never be a defensive standout. He also hit more than expected in pro ball, becoming a backup option to play corner outfield down the stretch in 2024 before the Braves acquired Jorge Soler via trade.  Baldwin mashed at Double-A and Triple-A last season, posting a .370 OBP and 16 homers. He hasn't played anywhere other than catcher or designated hitter, so that seems to be where the Braves want him to fit in the big leagues, with an above-average OBP and 15-20 homers being realistic at some point in the next couple of seasons.",,,,,,,,,,
44,45,Jonny,Farmelo,CF,Age: 20 | Bats: Left | Throws: Right,Left-Right,60,"Type: Above-average offensive tools and plus-plus speed that drove a breakthrough before suffering a torn ACL  Farmelo's stock steadily rose from summer showcase season to 2023 draft day. His innate feel to hit (despite some unique elements to his swing) combined with speed for center field and enough power to play a corner is the kind of upside teams are looking for late in the first round.  Keep up with the 2024-25 MLB offseason  We've got you covered on all the major signings and trades of the hot stove season. Tracker »   Free agency, trade grades »  He joined the assembly line of prep position players who have given the Mariners immediate strong returns. His improved swing mechanics fueled a loud big league spring training showing then a strong 46 games in Low-A until a torn ACL ended his season prematurely. Before the injury, he showed above-average bat-to-ball, pitch selection, raw power and in-game power skills. The expectation is that his speed and center-field defense will hold when he returns during the 2025 season.  I'm jumping on the bandwagon quickly before the surface numbers become so obvious that he's on every top 100.",,,,,,,,,,
45,46,Jesus,Made,SS,Age: 17 | Bats: Switch | Throws: Right,Switch-Right,60,"Type: Prototypical medium-framed international signee who surprised many by having one of the best pro debut seasons in a long time.  Made was the revelatory name in my August top 100 update, going from low-profile international signing (receiving a bonus of just $1 million) to one of the biggest Dominican Summer League breakout prospects in recent memory.  His data is incredible, with his contact rates (in or out of zone) and his pitch selection (in any count) all grading as at least plus, while he was posting basically major league average power metrics (some just above, some just below) like max exit velo and 90th percentile exit velos. His pull/lift numbers were also very strong, suggesting he knows how to turn that raw power into game power. I have some basic catch-all metrics in my spreadsheet of TrackMan data that grades each key hitting ability and is then adjusted for age. Of the nearly 3,500 hitters in the sheet, Made was first and by a good margin.  Made is an infielder, but possibly not a shortstop long-term (it's early for confidence about that, in general) and he's an above-average runner to boot. He isn't very physically projectable, so there may not be a ton of additional projection of his power like you expect with teenaged prospects, but he has good tools, excellent performance and an exceptional amount of refinement at the plate.  If you take the bearish stance, you'd argue that Made's good-not-great tools won't improve that much and we need to see him perform like this against High-A or Double-A pitchers to know these excellent metrics aren't misleading us due to the low level of competition in the DSL. Most players who make a top 100 list after signing as international free agents (like Leodalis De Vries above) skip the DSL so they're almost never facing players of their age cohort in the minor leagues.  On the bullish end of things, this is what a medium-tooled potential superstar like Mookie Betts or Jose Ramirez, should look like at this point -- so hop on board while you can. Some rival teams think Made could become a superstar and some think he belongs on the back end of this list, if not off of it.  The Brewers are on a bit of a scouting and development heater right now and it appears they found another excellent prospect who could become an excellent big leaguer, but it's still very early.",,,,,,,,,,
46,47,Brady,House,3B,Age: 21 | Bats: Right | Throws: Right,Right-Right,60,"Type: Tooled-up prospect adapting to being promoted quickly and could still be an All-Star-level talent.  House was one of the first players to pop nationally in the 2021 draft class, showing plus-plus power potential, plus-plus arm strength, average speed and hands to play in the infield early in his high school career. He held serve, going No. 11 in the 2021 draft with the main concern at the time being his strong tendency to swing within a few pitches of most at-bats. He has dialed in his pitch selection as he has been thrown into the deep end, being forced to improve by being among the youngest players at each level he's played at, ending last season in Triple-A right after he turned 21. House hits a lot of line drives, in part because he doesn't pull or lift the ball much, so he isn't getting to all of his raw power. He projects to have fringe-average on-base percentages and average-to-above in-game power, though House adds more value by being an above-average defender at third base and offering some value as a baserunner. That projection isn't quite as lofty as predraft expectations given his raw tools, but he's tracking like a solid every-day player.",,,,,,,,,,
47,48,Cooper,Pratt,SS,Age: 20 | Bats: Right | Throws: Right,Right-Right,60,"Type: An every-day shortstop with an above-average hit tool  Pratt had some interest in the late-first-to-second-round range coming out of the summer showcase season and into the spring before the 2023 draft, but then tailed off a bit as scouts were split on his rumored first-round asking price, offensive upside and ultimate position. The Brewers scooped him up in the sixth round for a bonus commensurate with the back of the second round; rival teams perceived this to be a great deal at the time that they wished they knew Pratt would've accepted.  His tool grades are mostly average, but as a teenage shortstop who performed well enough to be promoted to High-A in his full-season debut, Pratt is now tracking comfortably like an every-day player.    50 FV Tier",,,,,,,,,,
48,49,Jeferson,Quero,C,Age: 22 | Bats: Right | Throws: Right,Right-Right,60,"Type: Standout defender coming back from shoulder surgery with All-Star potential  Franchise temperatures  Is your favorite franchise boiling hot or below freezing? We take the temperature of every club with a brand-new number.   Bradford Doolittle »  Quero tore the labrum in his right shoulder during the season opener for Triple-A Nashville. He had surgery and ended up missing the entire season, though he's on track to be ready for the 2025 season.  He is an above-average defender with a plus arm, and both of those grades could be underselling his ability. Offensively, he needs to cut down on chasing pitches out of the zone, but there's enough bat control and raw power for roughly league-average offensive output -- .255 average and 15-18 homers -- which combined with his glove would make him one the best catchers in the sport.",,,,,,,,,,
49,50,Moises,Ballesteros,C,Age: 21 | Bats: Left | Throws: Right,Left-Right,60,"Type: 5-foot-8 catcher who is OK defensively, but is an offensive savant with 25-homer upside  Ballesteros doesn't have a typical big league frame at 5-foot-8, which also serves to limit his defensive ceiling as a catcher, even though he's improved over the past two seasons. He's good enough to at least be a part-time catching option with acceptable arm utility who also sees time at first base and designated hitter to get his bat in the lineup. Related to his frame not being very projectable, Ballesteros may be a relatively finished product despite being 21 years old.  He is the age of many 2025 draft prospects and while that cohort was playing in the Cape Cod League, Ballesteros was hitting above league average in Triple-A at the end of last season. That precocious performance and being even a part-time defensive option behind the plate is driving his value. You can expect roughly average on-base percentages and hope his pitch selection stays good enough to get to almost all of his above-average raw power. If a couple of things give a bit, he may end up being a platoon or low-end regular first baseman, but I'll bet on his advanced performances at the plate leading to a little more growth.",,,,,,,,,,
50,51,Bryce,Eldridge,1B,,Left-Right,60,"Type: 6-foot-7 first baseman who could hit 40 homers one day  Eldridge was a standout hitter and pitcher as a prep underclassman, posting big exit velos against older competition and getting into the mid-90s on the mound. Despite being a 6-foot-7 power hitter, his contact rates on the showcase circuit were among the best in the 2023 prep class, so scouts evaluated him as more of a hitter than a pitcher. At the same time, an ankle injury hurt his velocity in his draft spring, though he looked like a second-rounder on the mound anyway. Eldridge ended up going No. 16 overall as a hitter-only selection to the Giants.  Last year, he posted a .372 on-base percentage along with 23 homers in his first full season, mostly at High-A before getting a taste of Double-A and Triple-A while still a teenager. Eldridge has been promoted aggressively enough that his contact skills now play a bit below average. Call him a .245 or .250 big league hitter, with a solid-average walk rate and anywhere from 25 to 40 homers at his peak.",,,,,,,,,,
51,52,Nick,Kurtz,1B,Age: 21 | Bats: Left | Throws: Left,Left-Left,60,"Type: Should land somewhere on the Nick Johnson to Anthony Rizzo spectrum  Kurtz was on the same high school team as Cooper Kinney (No. 34 pick in 2021) and Henry Godbout (potential early-round pick in 2025 playing at Virginia), and few evaluators thought Kurtz was the best prospect on his own team, which he clearly is now.  High school first basemen are already unlikely to get a big enough bonus to forego a scholarship to a major conference school and there was concern that Kurtz couldn't get to his plus raw power in games given the long limbs from his 6-foot-5 frame. Kurtz dominated for three years at Wake Forest (164 games, 1.235 OPS, 61 homers, 189 walks) and was the No. 4 pick last summer. He had shoulder issues in college that made some teams pause, but he's a power-and-patience type with an above average glove, and he could be an All-Star.",,,,,,,,,,
52,53,Jarlin,Susana,RHP,Age: 20 | Bats: Right | Throws: Right,Right-Right,60,"Type: 6-foot-6 fireballer from the Soto trade with plus to plus-plus stuff, and the control is coming around  Susana signed with the Padres for $1.7 million in the 2022 international class -- after his stuff spiked during the previous class with San Diego having the best bonus offer, but he had to wait for pools to reset.  The Padres immediately brought him stateside and he was hitting 100 mph while flashing nasty breaking stuff. After just eight pro appearances, all in the complex league, he was inserted as the final player in the first Juan Soto trade.  In 2023, Susana walked nearly six batters per nine innings, and in 2024, that figure was down to four. His sinker sits 97-100 and hits 101 mph, while his cutter is a real standout. The average major league slider averages 85.5 mph, while Susana's cutter averages 89 mph and has above-average life compared to a major league slider, too. Susana should pitch in Double-A next season and will turn 21 in March; he would be the first pick in the 2025 MLB draft if he were doing this in college rather than in pro ball.",,,,,,,,,,
53,54,Edgar,Quero,C,Age: 21 | Bats: Switch | Throws: Right,Switch-Right,60,"Type: An offensively advanced, switch-hitting every-day catcher  Quero was the headliner in a trade from the Angels to the White Sox at the 2023 trade deadline for rental pitchers Lucas Giolito and Reynaldo Lopez. Opinions about his defensive ability behind the plate vary, and I have him as totally fine, around average, but some teams want an above-average defender there and would use Quero at other positions to get his bat in the lineup. That might also describe what the White Sox will do if Quero and Kyle Teel are in the big leagues at the same time next year. Quero should post roughly league-average on-base percentages and 15-20 homers in his peak seasons.",,,,,,,,,,
54,55,Thomas,White,LHP,Age: 20 | Bats: Left | Throws: Left,Left-Left,60,"Type: Long-heralded lefty who is finding his control to complement his stuff, which has been plus for years  White was the first pitcher in the 2023 draft class to pop; I went to see him during the summer in 2021 after he was already the top player in the class and was blown away. By 2023, he flashed three plus pitches, his changeup the least developed of the three. But his command would come and go to an extreme degree, so he lasted until the 35th overall pick, getting a mid-first-round bonus ($4.1 million).  White's first taste of full season minor leagues yielded too many walks, but he dialed it in more in 2024 and is now on the path of a premium projection potential front-line left-handed starter (say that three times fast). Sometimes this turns into Cole Hamels, other times into guys you've never heard of.",,,,,,,,,,
55,56,Alejandro,Rosario,RHP,Age: 22 | Bats: Right | Throws: Right,Right-Right,60,"Type: Late bloomer who always had stuff now looks like a potential starter  Rosario was an intriguing follow in high school, getting into the mid-90s while mixing in a nasty low-spin splitter, but he ended up going to Miami because of concerns about his command and his breaking ball. In college, he mostly started, but he posted a 6.47 ERA, and his strikeout-to-walk ratio was just over 2-to-1. The Rangers landed him in the fifth round of the 2023 draft -- a surprisingly rich zone of the draft of late, where teams take pitchers with a couple good qualities, hoping they can dial in the other few.  Rosario's strikeout-to-walk ratio is now at 10-to-1 through 88⅓ innings as his control and breaking ball issues have been largely solved, while his sinker, slider and splitter all now project as plus pitches. Rosario should be challenged in the upper minors this season to see if his command can hold up against more age-appropriate competition, but he now looks like at least an impact late-inning reliever if it can't.",,,,,,,,,,
56,57,Cole,Young,2B,Age: 21 | Bats: Left | Throws: Right,Left-Right,60,"Type: Hit-over-power infielder who likely settles at second base and hits about 15 homers annually  Young was a high-floor prospect in the 2021 draft as a sure-handed shortstop with an advanced lefty bat, but modest other tools. He's an OK defensive shortstop who likely ends up at second base -- and has already started playing there -- so that's where I have him projected. Young's bat-to-ball ability and pitch selection have both played a notch higher than I expected, so he should post plus on-base percentages -- something like 15 homers annually with solid defensive and baserunning value.",,,,,,,,,,
57,58,Quinn,Mathews,LHP,Age: 24 | Bats: Left | Throws: Left,Left-Left,60,"Type: Later-blooming lefty who had a velo spike in pro ball, but still has starter qualities  MLB expansion  Expansion is inevitable. Here's what you need to know about the timeline, favorites cities and more. Jeff Passan »  Breaking down the top candidates »   How a 32-team MLB might look »  Mathews was used heavily at Stanford -- he pitched there four seasons, racking up 224 innings in his last two years, including some eye-popping pitch counts -- and was a fourth-round pick in 2023 due to concerns tied to his usage, being 22 years old and his fastball averaging 90-93 mph.  In 2024, Mathews answered all of those concerns, getting to Triple-A and posting a better than 4-to-1 strikeout-to-walk ratio, helped in large part by his 93-96 mph fastball that he sustained over 143⅓ innings. His changeup is still plus, like it was at Stanford, and now with the added arm speed, his slider is now above average. He now looks like a potential mid-rotation starter, if he can keep this up and continue to dial in his command in the upper minors.",,,,,,,,,,
