,overall_ranking,first_name,last_name,pos,team,b_t,future_value,body,fastball_proj,sweeper_proj,changeup_proj,cutter_proj,control_proj,hit_proj,power_proj,run_proj,field_proj,arm_proj
33,34,Jett,Williams,2B,Age: 21 | Bats: Right | Throws: Right,Right-Right,60,,,,,,,,,,,
34,35,Kumar,Rocker,RHP,Age: 25 | Bats: Right | Throws: Right,Right-Right,60,,,,,,,,,,,
35,36,Chase,Burns,RHP,,Right-Right,60,,,,,,,,,,,
36,37,Alex,Freeland,SS,Age: 23 | Bats: Switch | Throws: Right,Switch-Right,60,,,,,,,,,,,
37,38,Kyle,Teel,C,Age: 23 | Bats: Left | Throws: Right,Left-Right,60,,,,,,,,,,,
38,39,Rhett,Lowder,RHP,Age: 22 | Bats: Right | Throws: Right,Right-Right,60,,,,,,,,,,,
39,40,Charlie,Condon,3B,Age: 21 | Bats: Right | Throws: Right,Right-Right,60,,,,,,,,,,,
40,41,Hagen,Smith,LHP,Age: 21 | Bats: Left | Throws: Left,Left-Left,60,,,,,,,,,,,
41,42,Blake,Mitchell,C,Age: 20 | Bats: Left | Throws: Right,Left-Right,60,,,,,,,,,,,
42,43,Luke,Keaschall,2B,Age: 22 | Bats: Right | Throws: Right,Right-Right,60,,,,,,,,,,,
43,44,Drake,Baldwin,C,,Left-Right,60,,,,,,,,,,,
44,45,Jonny,Farmelo,CF,Age: 20 | Bats: Left | Throws: Right,Left-Right,60,,,,,,,,,,,
45,46,Jesus,Made,SS,Age: 17 | Bats: Switch | Throws: Right,Switch-Right,60,,,,,,,,,,,
46,47,Brady,House,3B,Age: 21 | Bats: Right | Throws: Right,Right-Right,60,,,,,,,,,,,
47,48,Cooper,Pratt,SS,Age: 20 | Bats: Right | Throws: Right,Right-Right,60,,,,,,,,,,,
48,49,Jeferson,Quero,C,Age: 22 | Bats: Right | Throws: Right,Right-Right,60,,,,,,,,,,,
49,50,Moises,Ballesteros,C,Age: 21 | Bats: Left | Throws: Right,Left-Right,60,,,,,,,,,,,
50,51,Bryce,Eldridge,1B,,Left-Right,60,,,,,,,,,,,
51,52,Nick,Kurtz,1B,Age: 21 | Bats: Left | Throws: Left,Left-Left,60,,,,,,,,,,,
52,53,Jarlin,Susana,RHP,Age: 20 | Bats: Right | Throws: Right,Right-Right,60,,,,,,,,,,,
53,54,Edgar,Quero,C,Age: 21 | Bats: Switch | Throws: Right,Switch-Right,60,,,,,,,,,,,
54,55,Thomas,White,LHP,Age: 20 | Bats: Left | Throws: Left,Left-Left,60,,,,,,,,,,,
55,56,Alejandro,Rosario,RHP,Age: 22 | Bats: Right | Throws: Right,Right-Right,60,,,,,,,,,,,
56,57,Cole,Young,2B,Age: 21 | Bats: Left | Throws: Right,Left-Right,60,,,,,,,,,,,
57,58,Quinn,Mathews,LHP,Age: 24 | Bats: Left | Throws: Left,Left-Left,60,,,,,,,,,,,
58,59,Harry,Ford,C,,Right-Right,60,,,,,,,,,,,
59,60,George,Lombard Jr.,SS,Age: 19 | Bats: Right | Throws: Right,Right-Right,60,,,,,,,,,,,
60,61,Caden,Dana,RHP,Age: 21 | Bats: Left | Throws: Right,Left-Right,60,,,,,,,,,,,
61,62,Brandon,Sproat,RHP,Age: 24 | Bats: Right | Throws: Right,Right-Right,60,,,,,,,,,,,
62,63,Brayden,Taylor,3B,Age: 22 | Bats: Left | Throws: Right,Left-Right,60,,,,,,,,,,,
63,64,Kevin,Alcantara,CF,Age: 22 | Bats: Right | Throws: Right,Right-Right,60,,,,,,,,,,,
64,65,Tink,Hence,RHP,Age: 22 | Bats: Right | Throws: Right,Right-Right,60,,,,,,,,,,,
65,66,Starlyn,Caba,SS,,Switch-Right,60,,,,,,,,,,,
66,67,Ronny,Mauricio,SS,Age: 23 | Bats: Switch | Throws: Right,Switch-Right,60,,,,,,,,,,,
67,68,Jacob,Misiorowski,RHP,Age: 22 | Bats: Right | Throws: Right,Right-Right,60,,,,,,,,,,,
68,69,Arjun,Nimmala,SS,Age: 19 | Bats: Right | Throws: Right,Right-Right,60,,,,,,,,,,,
69,70,Zyhir,Hope,CF,Age: 20 | Bats: Left | Throws: Left,Left-Left,60,,,,,,,,,,,
70,71,Xavier,Isaac,1B,Age: 21 | Bats: Left | Throws: Left,Left-Left,60,,,,,,,,,,,
71,72,Termarr,Johnson,2B,Age: 20 | Bats: Left | Throws: Right,Left-Right,60,,,,,,,,,,,
72,73,Cam,Smith,3B,Age: 21 | Bats: Right | Throws: Right,Right-Right,60,,,,,,,,,,,
73,74,Jaison,Chourio,CF,,Switch-Right,60,,,,,,,,,,,
74,75,Christian,Moore,2B,Age: 22 | Bats: Right | Throws: Right,Right-Right,60,,,,,,,,,,,
75,76,Chase,Petty,RHP,Age: 21 | Bats: Right | Throws: Right,Right-Right,60,,,,,,,,,,,
76,77,Felnin,Celesten,SS,Age: 19 | Bats: Switch | Throws: Right,Switch-Right,60,,,,,,,,,,,
77,78,Travis,Sykora,RHP,Age: 20 | Bats: Right | Throws: Right,Right-Right,60,,,,,,,,,,,
78,79,Bryce,Rainer,SS,Age: 19 | Bats: Left | Throws: Right,Left-Right,60,,,,,,,,,,,
79,80,Emil,Morales,SS,Age: 18 | Bats: Right | Throws: Right,Right-Right,60,,,,,,,,,,,
80,81,Konnor,Griffin,SS,Age: 18 | Bats: Right | Throws: Right,Right-Right,60,,,,,,,,,,,
81,82,Enrique,Bradfield Jr.,CF,,Left-Left,60,,,,,,,,,,,
82,83,Alfredo,Duno,C,Age: 19 | Bats: Right | Throws: Right,Right-Right,60,,,,,,,,,,,
83,84,Drew,Gilbert,CF,Age: 24 | Bats: Left | Throws: Left,Left-Left,60,,,,,,,,,,,
84,85,Nacho,Alvarez Jr.,SS,Age: 21 | Bats: Right | Throws: Right,Right-Right,60,,,,,,,,,,,
85,86,Owen,Caissie,RF,Age: 22 | Bats: Left | Throws: Right,Left-Right,60,,,,,,,,,,,
86,87,Aidan,Smith,CF,Age: 20 | Bats: Right | Throws: Right,Right-Right,60,,,,,,,,,,,
87,88,George,Klassen,RHP,Age: 22 | Bats: Right | Throws: Right,Right-Right,60,,,,,,,,,,,
88,89,Ricky,Tiedemann,LHP,,Left-Left,60,,,,,,,,,,,
89,90,Moises,Chace,RHP,Age: 21 | Bats: Right | Throws: Right,Right-Right,60,,,,,,,,,,,
90,91,Chandler,Simpson,CF,Age: 24 | Bats: Left | Throws: Right,Left-Right,60,,,,,,,,,,,
91,92,Braden,Montgomery,RF,Age: 21 | Bats: Switch | Throws: Right,Switch-Right,60,,,,,,,,,,,
92,93,Jackson,Ferris,LHP,Age: 21 | Bats: Left | Throws: Left,Left-Left,60,,,,,,,,,,,
93,94,River,Ryan,RHP,Age: 26 | Bats: Right | Throws: Right,Right-Right,60,,,,,,,,,,,
94,95,Jacob,Melton,CF,,Left-Left,60,,,,,,,,,,,
95,96,Agustin,Ramirez,C,Age: 23 | Bats: Right | Throws: Right,Right-Right,60,,,,,,,,,,,
96,97,Cade,Horton,RHP,Age: 23 | Bats: Right | Throws: Right,Right-Right,60,,,,,,,,,,,
97,98,Orelvis,Martinez,2B,Age: 23 | Bats: Right | Throws: Right,Right-Right,60,,,,,,,,,,,
98,99,Braxton,Ashcraft,RHP,Age: 25 | Bats: Left | Throws: Right,Left-Right,60,,,,,,,,,,,
99,100,Charlee,Soto,RHP,Age: 19 | Bats: Switch | Throws: Right,Switch-Right,60,,,,,,,,,,,
